interaction_id,customer_id,platform,interaction_type,interaction_date,engagement_score,response_time_hours
INT000066,CUST252,Instagram,Save,2023-05-16,5,
INT000067,CUST121,Instagram,Follow,2023-05-02,1,
INT000068,CUST184,Tokopedia,Chat,2023-05-22,3,
INT000069,CUST090,WhatsApp,Message,2023-05-26,2,10.0
INT000070,CUST221,Instagram,Follow,2023-05-08,2,
INT000071,CUST288,Instagram,Save,2023-05-09,6,
INT000072,CUST182,Instagram,Follow,2023-05-09,3,
INT000073,CUST264,WhatsApp,Message,2023-05-23,1,14.0
INT000074,CUST235,Instagram,Like,2023-05-26,10,
INT000075,CUST053,WhatsApp,Message,2023-05-17,2,5.0
INT000076,CUST061,Instagram,Share,2023-05-06,5,
INT000077,CUST227,WhatsApp,Order,2023-05-24,2,
INT000078,CUST079,WhatsApp,Inquiry,2023-05-11,3,3.0
INT000079,CUST104,Tokopedia,Wishlist,2023-05-25,1,
INT000080,CUST126,Tokopedia,Chat,2023-05-10,9,
INT000081,CUST088,Instagram,Share,2023-05-12,7,
INT000082,CUST185,WhatsApp,Response,2023-05-05,9,
INT000083,CUST216,Instagram,Comment,2023-05-26,7,
INT000084,CUST212,Tokopedia,Wishlist,2023-05-28,9,
INT000085,CUST186,Instagram,Save,2023-05-05,1,
INT000086,CUST265,Instagram,Like,2023-05-11,6,
INT000087,CUST206,Instagram,Save,2023-05-02,7,
INT000088,CUST019,WhatsApp,Response,2023-05-29,10,
INT000089,CUST030,WhatsApp,Feedback,2023-05-10,7,
INT000090,CUST206,WhatsApp,Feedback,2023-05-28,5,
INT000091,CUST161,Tokopedia,Review,2023-05-27,5,
INT000092,CUST271,WhatsApp,Response,2023-05-23,7,
INT000093,CUST229,WhatsApp,Response,2023-05-29,9,
INT000094,CUST227,WhatsApp,Inquiry,2023-05-29,7,24.0
INT000095,CUST102,Tokopedia,Review,2023-05-02,9,
INT000096,CUST172,Tokopedia,Rating,2023-05-17,9,
INT000097,CUST146,Instagram,Like,2023-05-17,9,
INT000098,CUST160,WhatsApp,Inquiry,2023-05-25,3,0.0
INT000099,CUST015,WhatsApp,Feedback,2023-05-09,4,
INT000100,CUST156,WhatsApp,Order,2023-05-17,2,
INT000101,CUST031,Tokopedia,Chat,2023-05-21,9,
INT000102,CUST182,Instagram,Like,2023-05-25,2,
INT000103,CUST230,Tokopedia,Purchase,2023-05-24,1,
INT000104,CUST233,Tokopedia,Rating,2023-05-26,10,
INT000105,CUST290,WhatsApp,Feedback,2023-05-28,10,
INT000106,CUST120,Tokopedia,Chat,2023-05-10,10,
INT000107,CUST072,WhatsApp,Order,2023-05-17,4,
INT000108,CUST054,Tokopedia,Purchase,2023-05-19,4,
INT000109,CUST185,Tokopedia,Review,2023-05-05,7,
INT000110,CUST211,Instagram,Like,2023-05-02,7,
INT000111,CUST067,Tokopedia,Rating,2023-05-15,2,
INT000112,CUST190,WhatsApp,Feedback,2023-05-13,10,
INT000113,CUST287,WhatsApp,Order,2023-05-28,5,
INT000114,CUST300,Tokopedia,Wishlist,2023-05-15,8,
INT000115,CUST214,Instagram,Comment,2023-05-17,3,
INT000116,CUST249,WhatsApp,Order,2023-05-05,9,
INT000117,CUST271,Instagram,Comment,2023-05-15,8,
INT000118,CUST017,WhatsApp,Response,2023-05-18,6,
INT000119,CUST061,WhatsApp,Order,2023-05-04,2,
INT000120,CUST190,WhatsApp,Inquiry,2023-05-02,9,4.0
INT000121,CUST061,Tokopedia,Chat,2023-05-12,5,
INT000122,CUST151,Tokopedia,Review,2023-05-26,3,
INT000123,CUST073,WhatsApp,Order,2023-05-02,5,
INT000124,CUST146,Instagram,Comment,2023-05-27,8,
INT000125,CUST002,Instagram,Follow,2023-05-12,2,
INT000126,CUST023,Tokopedia,Wishlist,2023-05-19,5,
INT000127,CUST290,Tokopedia,Chat,2023-05-26,7,
INT000128,CUST244,WhatsApp,Feedback,2023-05-05,3,
INT000129,CUST259,WhatsApp,Order,2023-05-25,8,
INT000130,CUST230,Instagram,Share,2023-05-03,10,
INT000131,CUST210,Tokopedia,Rating,2023-05-29,7,
INT000132,CUST174,WhatsApp,Message,2023-05-22,8,23.0
INT000133,CUST143,WhatsApp,Message,2023-05-28,3,22.0
INT000134,CUST013,WhatsApp,Inquiry,2023-05-18,2,20.0
INT000135,CUST287,Instagram,Comment,2023-05-20,9,
INT000136,CUST296,Instagram,Follow,2023-05-17,4,
INT000137,CUST244,WhatsApp,Message,2023-05-04,9,5.0
INT000138,CUST010,Tokopedia,Rating,2023-05-08,10,
INT000139,CUST228,Instagram,Follow,2023-05-20,6,
INT000140,CUST206,WhatsApp,Message,2023-05-16,1,10.0
INT000141,CUST224,Instagram,Save,2023-05-01,9,
INT000142,CUST163,Tokopedia,Chat,2023-05-03,2,
INT000143,CUST051,WhatsApp,Response,2023-05-10,3,
INT000144,CUST094,Tokopedia,Review,2023-05-05,5,
INT000145,CUST209,WhatsApp,Response,2023-05-02,10,
INT000146,CUST167,Instagram,Like,2023-05-23,1,
INT000147,CUST153,Tokopedia,Review,2023-05-11,3,
INT000148,CUST212,Tokopedia,Chat,2023-05-13,2,
INT000149,CUST027,Instagram,Comment,2023-05-25,10,
INT000150,CUST122,Tokopedia,Purchase,2023-05-25,9,
INT000151,CUST198,Instagram,Share,2023-05-02,6,
INT000152,CUST238,WhatsApp,Order,2023-05-03,8,
INT000153,CUST015,Tokopedia,Rating,2023-05-30,1,
INT000154,CUST138,WhatsApp,Feedback,2023-05-22,2,
INT000155,CUST127,WhatsApp,Response,2023-05-10,10,
INT000156,CUST209,Tokopedia,Review,2023-05-28,9,
INT000157,CUST105,Instagram,Share,2023-05-18,3,
INT000158,CUST126,WhatsApp,Order,2023-05-30,9,
INT000159,CUST232,Instagram,Like,2023-05-27,8,
INT000160,CUST149,WhatsApp,Response,2023-05-01,1,
INT000161,CUST140,WhatsApp,Inquiry,2023-06-26,7,11.0
INT000162,CUST109,WhatsApp,Feedback,2023-06-09,1,
INT000163,CUST083,WhatsApp,Feedback,2023-06-18,2,
INT000164,CUST154,Instagram,Save,2023-06-22,2,
INT000165,CUST072,WhatsApp,Feedback,2023-06-08,7,
INT000166,CUST108,WhatsApp,Feedback,2023-06-25,6,
INT000167,CUST176,WhatsApp,Inquiry,2023-06-24,8,8.0
INT000168,CUST126,WhatsApp,Inquiry,2023-06-10,4,14.0
INT000169,CUST169,Instagram,Comment,2023-06-20,1,
INT000170,CUST244,Instagram,Like,2023-06-21,3,
INT000171,CUST212,WhatsApp,Order,2023-06-24,7,
INT000172,CUST276,Instagram,Like,2023-06-17,1,
INT000173,CUST228,WhatsApp,Message,2023-06-11,7,19.0
INT000174,CUST184,Tokopedia,Rating,2023-06-26,1,
INT000175,CUST064,Tokopedia,Chat,2023-06-29,4,
INT000176,CUST228,Instagram,Comment,2023-06-23,1,
INT000177,CUST144,WhatsApp,Inquiry,2023-06-06,2,19.0
INT000178,CUST156,WhatsApp,Response,2023-06-07,8,
INT000179,CUST186,Instagram,Share,2023-06-15,10,
INT000180,CUST108,Instagram,Comment,2023-06-26,7,
INT000181,CUST057,Tokopedia,Purchase,2023-06-16,8,
INT000182,CUST088,WhatsApp,Response,2023-06-21,10,
INT000183,CUST290,Instagram,Like,2023-06-18,3,
INT000184,CUST034,Instagram,Share,2023-06-29,10,
INT000185,CUST117,WhatsApp,Inquiry,2023-06-06,1,22.0
INT000186,CUST273,WhatsApp,Inquiry,2023-06-21,9,14.0
INT000187,CUST002,Tokopedia,Review,2023-06-27,6,
INT000188,CUST222,Tokopedia,Chat,2023-06-03,9,
INT000189,CUST239,Tokopedia,Chat,2023-06-16,1,
INT000190,CUST115,Instagram,Share,2023-06-29,7,
INT000191,CUST273,Tokopedia,Chat,2023-05-31,7,
INT000192,CUST100,Tokopedia,Review,2023-06-28,10,
INT000193,CUST013,WhatsApp,Response,2023-06-22,7,
INT000194,CUST039,Instagram,Comment,2023-06-05,6,
INT000195,CUST160,Instagram,Like,2023-05-31,8,
INT000196,CUST222,Instagram,Follow,2023-06-25,6,
INT000197,CUST129,Instagram,Like,2023-06-15,4,
INT000198,CUST175,Instagram,Share,2023-06-16,4,
INT000199,CUST038,WhatsApp,Feedback,2023-06-14,2,
INT000200,CUST229,WhatsApp,Message,2023-06-02,1,1.0
INT000201,CUST194,Tokopedia,Review,2023-06-25,3,
INT000202,CUST032,Tokopedia,Review,2023-06-09,10,
INT000203,CUST222,Instagram,Like,2023-06-21,1,
INT000204,CUST287,Instagram,Share,2023-06-27,7,
INT000205,CUST206,Instagram,Follow,2023-06-24,7,
INT000206,CUST120,WhatsApp,Feedback,2023-05-31,8,
INT000207,CUST197,Tokopedia,Wishlist,2023-06-28,10,
INT000208,CUST052,Tokopedia,Review,2023-06-14,9,
INT000209,CUST169,WhatsApp,Response,2023-06-03,2,
INT000210,CUST007,WhatsApp,Message,2023-06-18,4,18.0
INT000211,CUST065,WhatsApp,Feedback,2023-06-08,6,
INT000212,CUST216,Tokopedia,Purchase,2023-06-14,3,
INT000213,CUST125,Instagram,Like,2023-06-01,3,
INT000214,CUST160,WhatsApp,Order,2023-06-16,6,
INT000215,CUST160,WhatsApp,Feedback,2023-06-24,3,
INT000216,CUST076,Tokopedia,Chat,2023-06-19,6,
INT000217,CUST150,Tokopedia,Review,2023-06-16,10,
INT000218,CUST075,Instagram,Comment,2023-06-16,9,
INT000219,CUST028,Tokopedia,Chat,2023-06-06,4,
INT000220,CUST104,Instagram,Share,2023-06-06,8,
INT000221,CUST240,WhatsApp,Inquiry,2023-06-27,10,18.0
INT000222,CUST172,WhatsApp,Inquiry,2023-06-13,6,5.0
INT000223,CUST054,Tokopedia,Review,2023-06-15,4,
INT000224,CUST002,WhatsApp,Response,2023-06-22,4,
INT000225,CUST239,WhatsApp,Response,2023-06-07,8,
INT000226,CUST170,WhatsApp,Order,2023-06-06,7,
INT000227,CUST095,Instagram,Share,2023-05-31,2,
INT000228,CUST184,Instagram,Follow,2023-06-03,3,
INT000229,CUST149,Tokopedia,Rating,2023-06-20,10,
INT000230,CUST185,Instagram,Like,2023-06-06,4,
INT000231,CUST146,Instagram,Comment,2023-06-28,5,
INT000232,CUST090,Tokopedia,Purchase,2023-06-07,3,
INT000233,CUST101,Instagram,Comment,2023-06-26,5,
INT000234,CUST052,Instagram,Comment,2023-06-12,2,
INT000235,CUST174,Instagram,Share,2023-06-14,4,
INT000236,CUST190,Tokopedia,Rating,2023-06-16,10,
INT000237,CUST223,WhatsApp,Message,2023-06-03,3,4.0
INT000238,CUST098,Instagram,Follow,2023-06-12,6,
INT000239,CUST163,WhatsApp,Order,2023-06-20,4,
INT000240,CUST024,WhatsApp,Feedback,2023-06-06,9,
INT000241,CUST151,Instagram,Share,2023-06-07,1,
INT000242,CUST144,Instagram,Follow,2023-06-18,8,
INT000243,CUST108,WhatsApp,Message,2023-06-25,8,21.0
INT000244,CUST034,Instagram,Follow,2023-06-12,9,
INT000245,CUST192,Tokopedia,Purchase,2023-06-14,3,
INT000246,CUST165,WhatsApp,Inquiry,2023-06-16,8,22.0
INT000247,CUST254,Tokopedia,Chat,2023-06-18,7,
INT000248,CUST299,WhatsApp,Message,2023-06-06,4,6.0
INT000249,CUST232,Instagram,Save,2023-06-06,5,
INT000250,CUST218,Tokopedia,Purchase,2023-06-05,6,
INT000251,CUST131,WhatsApp,Message,2023-06-04,2,9.0
INT000252,CUST228,WhatsApp,Inquiry,2023-06-07,10,1.0
INT000253,CUST239,WhatsApp,Feedback,2023-06-10,7,
INT000254,CUST231,Tokopedia,Wishlist,2023-06-13,6,
INT000255,CUST255,Tokopedia,Chat,2023-06-12,1,
INT000256,CUST092,Tokopedia,Rating,2023-06-08,2,
INT000257,CUST184,Instagram,Share,2023-06-26,9,
INT000258,CUST263,WhatsApp,Message,2023-06-25,5,7.0
INT000259,CUST051,Instagram,Like,2023-06-11,1,
INT000260,CUST280,Instagram,Share,2023-06-06,6,
INT000261,CUST129,Tokopedia,Chat,2023-06-06,10,
INT000262,CUST071,WhatsApp,Feedback,2023-06-29,5,
INT000263,CUST005,Tokopedia,Chat,2023-06-26,6,
INT000264,CUST207,Tokopedia,Purchase,2023-06-24,1,
INT000265,CUST242,WhatsApp,Feedback,2023-06-24,3,
INT000266,CUST204,Instagram,Comment,2023-06-23,4,
INT000267,CUST243,Instagram,Follow,2023-06-18,9,
INT000268,CUST240,WhatsApp,Order,2023-06-10,2,
INT000269,CUST161,Instagram,Save,2023-06-24,7,
INT000270,CUST108,Tokopedia,Wishlist,2023-06-27,9,
INT000271,CUST016,Tokopedia,Rating,2023-06-18,3,
INT000272,CUST157,WhatsApp,Message,2023-06-15,6,10.0
INT000273,CUST116,Tokopedia,Wishlist,2023-06-21,7,
INT000274,CUST276,Tokopedia,Chat,2023-06-18,1,
INT000275,CUST291,Instagram,Comment,2023-06-04,6,
INT000276,CUST291,WhatsApp,Feedback,2023-06-29,10,
INT000277,CUST294,Tokopedia,Wishlist,2023-06-06,7,
INT000278,CUST033,WhatsApp,Order,2023-06-06,8,
INT000279,CUST056,Tokopedia,Purchase,2023-06-14,5,
INT000280,CUST048,Instagram,Like,2023-06-21,9,
INT000281,CUST091,Instagram,Follow,2023-06-15,1,
INT000282,CUST096,Instagram,Like,2023-06-29,7,
INT000283,CUST146,Instagram,Comment,2023-06-09,9,
INT000284,CUST036,Tokopedia,Review,2023-06-11,9,
INT000285,CUST006,Instagram,Share,2023-06-27,7,
INT000286,CUST201,Instagram,Like,2023-06-04,9,
INT000287,CUST215,Tokopedia,Review,2023-06-12,4,
INT000288,CUST067,Instagram,Share,2023-06-13,8,
INT000289,CUST082,WhatsApp,Feedback,2023-06-09,10,
INT000290,CUST104,WhatsApp,Order,2023-06-08,4,
INT000291,CUST004,Instagram,Save,2023-06-02,7,
INT000292,CUST127,WhatsApp,Inquiry,2023-06-29,10,15.0
INT000293,CUST236,Tokopedia,Purchase,2023-06-01,2,
INT000294,CUST148,WhatsApp,Order,2023-06-11,5,
INT000295,CUST201,WhatsApp,Response,2023-06-13,4,
INT000296,CUST092,WhatsApp,Order,2023-06-14,7,
INT000297,CUST094,WhatsApp,Feedback,2023-06-03,7,
INT000298,CUST023,Instagram,Comment,2023-06-08,9,
INT000299,CUST150,WhatsApp,Message,2023-06-22,4,15.0
INT000300,CUST211,WhatsApp,Message,2023-06-11,2,24.0
INT000301,CUST054,WhatsApp,Inquiry,2023-06-13,8,5.0
INT000302,CUST130,Instagram,Follow,2023-06-01,8,
INT000303,CUST014,Instagram,Save,2023-06-12,6,
INT000304,CUST205,Instagram,Save,2023-06-01,1,
INT000305,CUST129,Instagram,Comment,2023-06-10,8,
INT000306,CUST249,Tokopedia,Review,2023-06-02,9,
INT000307,CUST125,WhatsApp,Order,2023-06-04,8,
INT000308,CUST143,Instagram,Comment,2023-06-26,1,
INT000309,CUST052,Instagram,Share,2023-06-03,9,
INT000310,CUST201,Instagram,Like,2023-06-21,1,
INT000311,CUST140,Instagram,Save,2023-06-11,3,
INT000312,CUST111,WhatsApp,Message,2023-06-28,9,6.0
INT000313,CUST227,WhatsApp,Message,2023-06-26,9,20.0
INT000314,CUST053,Tokopedia,Chat,2023-06-14,1,
INT000315,CUST003,Instagram,Save,2023-06-24,4,
INT000316,CUST128,Tokopedia,Rating,2023-06-06,2,
INT000317,CUST009,Tokopedia,Review,2023-05-31,6,
INT000318,CUST099,WhatsApp,Message,2023-06-07,2,21.0
INT000319,CUST086,WhatsApp,Response,2023-06-01,7,
INT000320,CUST263,Instagram,Share,2023-06-10,9,
INT000321,CUST098,WhatsApp,Response,2023-06-29,9,
INT000322,CUST220,Instagram,Comment,2023-07-06,2,
INT000323,CUST183,Tokopedia,Rating,2023-06-30,7,
INT000324,CUST162,Instagram,Save,2023-07-06,8,
INT000325,CUST113,Instagram,Share,2023-07-20,10,
INT000326,CUST189,Instagram,Like,2023-07-28,4,
INT000327,CUST211,Tokopedia,Purchase,2023-07-15,2,
INT000328,CUST275,WhatsApp,Response,2023-07-08,2,
INT000329,CUST167,WhatsApp,Order,2023-07-21,3,
INT000330,CUST171,Instagram,Share,2023-07-27,8,
INT000331,CUST035,Tokopedia,Review,2023-07-19,10,
INT000332,CUST230,Tokopedia,Purchase,2023-07-20,4,
INT000333,CUST258,WhatsApp,Message,2023-07-07,1,19.0
INT000334,CUST064,Tokopedia,Rating,2023-07-23,7,
INT000335,CUST125,WhatsApp,Message,2023-07-01,3,11.0
INT000336,CUST256,Tokopedia,Rating,2023-07-04,7,
INT000337,CUST105,WhatsApp,Message,2023-07-07,10,14.0
INT000338,CUST169,Instagram,Share,2023-07-10,1,
INT000339,CUST267,Tokopedia,Chat,2023-07-24,1,
INT000340,CUST118,WhatsApp,Inquiry,2023-07-10,4,6.0
INT000341,CUST277,Instagram,Comment,2023-07-25,4,
INT000342,CUST196,WhatsApp,Inquiry,2023-07-05,8,20.0
INT000343,CUST004,Instagram,Save,2023-07-02,4,
INT000344,CUST027,WhatsApp,Response,2023-07-06,3,
INT000345,CUST047,Instagram,Follow,2023-07-17,4,
INT000346,CUST121,WhatsApp,Message,2023-07-13,8,9.0
INT000347,CUST085,WhatsApp,Response,2023-07-07,7,
INT000348,CUST091,WhatsApp,Response,2023-07-09,5,
INT000349,CUST296,Tokopedia,Rating,2023-07-08,8,
INT000350,CUST041,Tokopedia,Wishlist,2023-07-12,3,
INT000351,CUST242,Tokopedia,Wishlist,2023-07-16,10,
INT000352,CUST222,Instagram,Save,2023-06-30,7,
INT000353,CUST219,Instagram,Share,2023-07-19,9,
INT000354,CUST079,WhatsApp,Response,2023-07-08,7,
INT000355,CUST238,Tokopedia,Wishlist,2023-07-09,7,
INT000356,CUST288,WhatsApp,Order,2023-07-02,6,
INT000357,CUST070,WhatsApp,Order,2023-07-06,3,
INT000358,CUST098,Instagram,Like,2023-07-27,9,
INT000359,CUST192,Tokopedia,Wishlist,2023-07-29,7,
INT000360,CUST203,WhatsApp,Inquiry,2023-07-12,8,9.0
INT000361,CUST037,Tokopedia,Review,2023-07-29,2,
INT000362,CUST198,WhatsApp,Response,2023-07-06,7,
INT000363,CUST131,WhatsApp,Inquiry,2023-07-16,8,20.0
INT000364,CUST189,WhatsApp,Message,2023-07-20,7,13.0
INT000365,CUST127,Instagram,Save,2023-07-01,6,
INT000366,CUST015,WhatsApp,Response,2023-07-08,10,
INT000367,CUST234,WhatsApp,Response,2023-07-08,4,
INT000368,CUST297,WhatsApp,Response,2023-06-30,2,
INT000369,CUST048,WhatsApp,Order,2023-07-12,10,
INT000370,CUST042,WhatsApp,Response,2023-07-28,7,
INT000371,CUST085,Tokopedia,Chat,2023-07-22,5,
INT000372,CUST257,WhatsApp,Order,2023-07-18,5,
INT000373,CUST211,WhatsApp,Message,2023-07-03,10,24.0
INT000374,CUST177,Instagram,Share,2023-07-23,4,
INT000375,CUST204,WhatsApp,Inquiry,2023-06-30,3,15.0
INT000376,CUST001,Instagram,Like,2023-07-24,7,
INT000377,CUST269,Tokopedia,Chat,2023-07-23,7,
INT000378,CUST088,Instagram,Share,2023-07-05,3,
INT000379,CUST102,Tokopedia,Rating,2023-07-16,2,
INT000380,CUST231,WhatsApp,Response,2023-07-05,4,
INT000381,CUST031,WhatsApp,Response,2023-07-25,4,
INT000382,CUST133,Tokopedia,Wishlist,2023-07-20,10,
INT000383,CUST056,WhatsApp,Response,2023-07-02,5,
INT000384,CUST044,Tokopedia,Review,2023-07-08,2,
INT000385,CUST176,Instagram,Follow,2023-07-07,8,
INT000386,CUST249,WhatsApp,Message,2023-06-30,1,8.0
INT000387,CUST004,WhatsApp,Feedback,2023-07-25,1,
INT000388,CUST050,Instagram,Follow,2023-07-25,1,
INT000389,CUST193,WhatsApp,Feedback,2023-07-24,5,
INT000390,CUST249,Tokopedia,Chat,2023-07-19,7,
INT000391,CUST173,Tokopedia,Chat,2023-07-10,4,
INT000392,CUST185,WhatsApp,Order,2023-07-12,10,
INT000393,CUST030,Tokopedia,Chat,2023-07-25,2,
INT000394,CUST002,Tokopedia,Wishlist,2023-07-23,3,
INT000395,CUST014,WhatsApp,Message,2023-07-27,9,8.0
INT000396,CUST128,Tokopedia,Wishlist,2023-07-19,8,
INT000397,CUST264,Tokopedia,Rating,2023-06-30,6,
INT000398,CUST009,WhatsApp,Inquiry,2023-07-27,1,23.0
INT000399,CUST167,WhatsApp,Order,2023-07-07,10,
INT000400,CUST249,Tokopedia,Purchase,2023-07-25,2,
INT000401,CUST179,Tokopedia,Wishlist,2023-07-21,2,
INT000402,CUST198,Tokopedia,Purchase,2023-07-06,3,
INT000403,CUST267,WhatsApp,Feedback,2023-07-01,3,
INT000404,CUST255,Instagram,Share,2023-07-26,9,
INT000405,CUST240,Instagram,Save,2023-07-03,8,
INT000406,CUST277,Instagram,Comment,2023-07-06,3,
INT000407,CUST046,Instagram,Save,2023-07-22,1,
INT000408,CUST083,Tokopedia,Wishlist,2023-07-24,5,
INT000409,CUST113,WhatsApp,Inquiry,2023-07-21,8,21.0
INT000410,CUST064,WhatsApp,Response,2023-07-29,9,
INT000411,CUST252,Instagram,Share,2023-07-27,4,
INT000412,CUST295,WhatsApp,Message,2023-07-20,6,12.0
INT000413,CUST196,WhatsApp,Feedback,2023-07-27,7,
INT000414,CUST120,Instagram,Share,2023-07-03,5,
INT000415,CUST045,Instagram,Like,2023-07-10,10,
INT000416,CUST097,WhatsApp,Message,2023-07-18,6,4.0
INT000417,CUST161,Tokopedia,Purchase,2023-07-23,1,
INT000418,CUST160,Instagram,Follow,2023-07-17,4,
INT000419,CUST199,Tokopedia,Chat,2023-07-24,6,
INT000420,CUST065,WhatsApp,Feedback,2023-07-18,4,
INT000421,CUST055,Tokopedia,Review,2023-07-17,8,
INT000422,CUST162,Instagram,Share,2023-07-26,4,
INT000423,CUST256,WhatsApp,Order,2023-07-04,10,
INT000424,CUST146,Instagram,Like,2023-07-19,6,
INT000425,CUST159,WhatsApp,Message,2023-07-08,10,15.0
INT000426,CUST111,Tokopedia,Chat,2023-07-22,7,
INT000427,CUST031,Tokopedia,Rating,2023-07-26,4,
INT000428,CUST116,WhatsApp,Message,2023-07-29,3,15.0
INT000429,CUST201,Tokopedia,Rating,2023-06-30,9,
INT000430,CUST201,Tokopedia,Wishlist,2023-07-21,8,
INT000431,CUST179,Tokopedia,Wishlist,2023-07-02,9,
INT000432,CUST145,Tokopedia,Rating,2023-07-22,9,
INT000433,CUST202,Instagram,Comment,2023-07-10,10,
INT000434,CUST028,WhatsApp,Inquiry,2023-07-14,3,18.0
INT000435,CUST071,Tokopedia,Wishlist,2023-07-09,3,
INT000436,CUST108,Instagram,Comment,2023-07-23,1,
INT000437,CUST186,WhatsApp,Feedback,2023-07-03,3,
INT000438,CUST193,Tokopedia,Rating,2023-07-29,1,
INT000439,CUST050,Tokopedia,Wishlist,2023-07-05,1,
INT000440,CUST061,WhatsApp,Inquiry,2023-07-18,7,4.0
INT000441,CUST207,Instagram,Like,2023-07-03,4,
INT000442,CUST204,Tokopedia,Chat,2023-07-22,10,
INT000443,CUST089,WhatsApp,Order,2023-07-24,2,
INT000444,CUST238,WhatsApp,Order,2023-07-08,8,
INT000445,CUST189,Instagram,Like,2023-07-03,2,
INT000446,CUST063,Tokopedia,Purchase,2023-07-07,1,
INT000447,CUST294,WhatsApp,Order,2023-07-08,2,
INT000448,CUST093,Tokopedia,Wishlist,2023-07-20,7,
INT000449,CUST153,WhatsApp,Response,2023-07-03,6,
INT000450,CUST033,WhatsApp,Feedback,2023-07-05,7,
INT000451,CUST011,Tokopedia,Purchase,2023-07-26,9,
INT000452,CUST272,Tokopedia,Review,2023-07-16,10,
INT000453,CUST276,WhatsApp,Message,2023-07-24,4,21.0
